BST_order, BST_random, AVL_order, AVL_random, S_order, S_random
0,0,6,6,99,37
1,1,5,0,50,1
2,2,6,3,26,38
3,3,4,3,13,4
4,4,6,1,9,17
5,3,5,5,4,23
6,1,6,1,4,16
7,2,3,4,2,5
8,5,6,4,4,6
9,3,5,5,2,5
10,2,6,3,3,8
11,5,4,2,1,9
12,3,6,2,7,5
13,4,5,4,3,7
14,3,6,5,3,6
15,4,2,2,1,12
16,5,6,5,3,6
17,5,5,3,1,9
18,6,6,5,2,12
19,7,4,4,1,7
20,8,6,5,5,5
21,6,5,5,2,6
22,5,6,4,3,9
23,9,3,6,1,4
24,3,6,2,3,8
25,6,5,6,1,7
26,6,6,4,2,13
27,6,4,5,1,7
28,6,6,4,5,5
29,7,5,5,2,11
30,8,6,3,3,7
31,8,1,6,1,7
32,4,6,4,3,6
33,5,5,3,1,3
34,5,6,6,2,10
35,4,4,4,1,9
36,4,6,5,4,7
37,4,5,5,2,7
38,9,6,4,3,5
39,5,3,5,1,8
40,9,6,7,3,5
41,5,5,5,1,10
42,7,6,6,2,8
43,6,4,5,1,10
44,4,6,5,6,8
45,6,5,5,3,7
46,4,6,5,3,9
47,9,2,6,1,12
48,7,6,5,3,5
49,10,5,6,1,8
50,7,6,5,2,7
51,8,4,4,1,6
52,7,6,4,5,6
53,10,5,5,2,7
54,8,6,7,3,10
55,5,3,3,1,10
56,7,6,6,3,8
57,5,5,5,1,7
58,6,6,4,2,3
59,9,4,6,1,13
60,6,6,5,5,7
61,7,5,4,2,10
62,9,6,6,3,9
63,6,0,5,1,7
64,7,5,3,3,3
65,5,4,5,1,9
66,8,5,5,2,8
67,8,3,7,1,8
68,7,5,6,4,4
69,7,4,5,2,10
70,7,5,6,3,8
71,7,2,6,1,8
72,9,5,6,3,8
73,8,4,5,1,13
74,8,5,6,2,8
75,6,3,4,1,6
76,4,5,6,5,7
77,8,4,6,2,11
78,10,5,6,3,12
79,9,1,6,1,10
80,7,5,5,3,8
81,10,4,7,1,7
82,9,5,6,2,6
83,10,3,7,1,6
84,7,5,6,4,7
85,8,4,6,2,5
86,6,5,6,3,11
87,7,2,6,1,13
88,8,6,5,3,9
89,6,5,4,1,11
90,10,6,7,2,11
91,9,4,6,1,5
92,10,6,7,4,7
93,10,5,7,2,8
94,6,6,5,3,7
95,6,3,6,1,6
96,8,5,6,3,10
97,11,4,7,1,12
98,11,5,7,2,5
99,9,6,7,1,10
